"","Unique.location","Acanthurus.nigrofuscus","Chlorurus.sordidus","Ctenochaetus.binotatus","Ctenochaetus.striatus","Naso.lituratus","Pomacentrus.bankanensis","Scarus.niger","wrasse.unident","Zebrasoma.scopas","count"
"1","107.b2",0,1,0,0,1,0,0,0,0,2
"2","107.b6",0,1,0,0,0,0,0,0,0,1
"3","107.b8",0,1,0,0,1,0,0,0,0,2
"4","107.c3",0,1,0,0,0,0,0,1,0,2
"5","107.d2",0,3,0,0,0,0,0,1,0,2
"6","107.d5",0,0,0,0,1,0,0,0,0,1
"7","107.d6",0,0,0,0,4,0,0,1,0,2
"8","107.e2",0,1,0,0,0,0,0,0,0,1
"9","107.e3",0,4,0,0,0,0,0,0,0,1
"10","107.f2",0,3,0,0,0,0,0,0,0,1
"11","107.f6",0,0,0,0,1,0,0,0,0,1
"12","107.f8",0,0,0,0,2,0,0,0,0,1
"13","107.g1",0,2,0,0,0,0,0,0,0,1
"14","107.g2",0,0,3,0,0,0,0,0,0,1
"15","107.g3",0,0,1,0,0,0,0,0,0,1
"16","107.g7",0,0,0,0,3,0,0,0,0,1
"17","107.h1",0,0,4,0,0,0,0,0,0,1
"18","107.h2",0,3,6,0,1,0,0,0,0,3
"19","107.h4",0,0,0,0,2,0,0,0,0,1
"20","107.i1",0,0,0,0,0,0,0,0,0,0
"21","107.i2",0,0,4,0,0,0,0,0,0,1
"22","107.i3",0,0,1,0,0,0,0,0,0,1
"23","107.i4",0,0,0,0,2,0,0,0,0,1
"24","107.i5",0,0,0,0,1,0,0,0,0,1
"25","107.i7",0,0,1,0,0,0,0,0,0,1
"26","18.a4",0,0,0,0,0,1,0,0,0,1
"27","18.a5",0,0,0,0,0,0,0,0,0,0
"28","18.b1",0,0,0,0,0,0,1,0,0,1
"29","18.b2",0,0,0,0,0,0,1,0,0,1
"30","18.b4",0,0,0,0,0,0,1,0,0,1
"31","18.b6",0,0,0,0,0,0,6,0,0,1
"32","18.b8",0,0,0,0,0,0,3,0,0,1
"33","18.c1",0,0,0,0,0,0,1,0,0,1
"34","18.c5",0,0,0,0,0,0,5,0,0,1
"35","18.c7",0,0,0,0,0,0,2,0,0,1
"36","18.d1",0,0,0,0,0,0,1,0,0,1
"37","18.d4",0,0,0,0,0,1,0,0,0,1
"38","18.e1",0,0,0,0,0,0,1,0,0,1
"39","18.f4",0,0,0,0,0,0,1,0,0,1
"40","18.f6",0,0,0,0,0,0,4,0,0,1
"41","18.g5",0,0,0,0,0,0,3,0,0,1
"42","18.g6",0,0,0,0,0,0,0,0,0,0
"43","18.g7",0,0,0,0,0,0,3,0,0,1
"44","18.h2",0,0,0,0,0,0,1,0,0,1
"45","18.h6",0,0,0,0,0,0,2,0,0,1
"46","18.h8",0,0,0,0,0,0,1,0,0,1
"47","18.i4",0,0,0,0,0,0,1,0,0,1
"48","18.i5",0,0,0,0,0,0,2,0,0,1
"49","18.i6",0,0,0,0,0,0,1,0,0,1
"50","44.a1",0,0,0,1,0,0,0,0,0,1
"51","44.b1",3,0,0,1,0,0,0,0,2,3
"52","44.b2",14,0,0,8,0,0,0,0,0,2
"53","44.b3",0,0,0,2,0,0,0,0,0,1
"54","44.b4",4,0,0,3,0,0,0,0,0,2
"55","44.b5",2,0,0,0,0,0,0,0,0,1
"56","44.b6",7,0,0,4,0,0,0,0,0,2
"57","44.b7",2,0,0,0,0,0,0,0,0,1
"58","44.b8",5,0,0,5,0,0,0,0,0,2
"59","44.c1",0,0,0,4,0,0,0,0,1,2
"60","44.c3",18,0,0,NA,0,0,0,0,0,NA
"61","44.c5",8,0,0,0,0,0,0,0,1,2
"62","44.c6",1,0,0,0,0,0,0,0,0,1
"63","44.c7",4,0,0,3,0,0,0,0,0,2
"64","44.c8",1,0,0,0,0,0,0,0,0,1
"65","44.d1",1,0,0,2,0,0,0,0,1,3
"66","44.d2",19,0,0,5,0,0,0,0,1,3
"67","44.d3",5,0,0,0,0,0,0,0,0,1
"68","44.d4",13,0,0,2,0,0,0,0,0,2
"69","44.d5",4,0,0,0,0,0,0,0,0,1
"70","44.d6",5,0,0,4,0,0,0,0,1,3
"71","44.d8",5,0,0,4,0,0,0,0,1,3
"72","44.d9",1,0,0,0,0,0,0,0,0,1
"73","44.e1",1,0,0,1,0,0,0,0,1,3
"74","44.e2",2,0,0,1,0,0,0,0,0,2
"75","44.e3",12,0,0,4,0,0,0,0,0,2
"76","44.e4",1,0,0,0,0,0,0,0,0,1
"77","44.e6",1,0,0,0,0,0,0,0,0,1
"78","44.e7",2,0,0,0,0,0,0,0,2,2
"79","44.e8",0,0,0,2,0,0,0,0,2,2
"80","44.e9",0,0,0,6,0,0,0,0,6,2
"81","44.f1",3,0,0,0,0,0,0,0,0,1
"82","44.f2",13,0,0,1,0,0,0,0,0,2
"83","44.f3",1,0,0,0,0,0,0,0,0,1
"84","44.f4",15,0,0,2,0,0,0,0,1,3
"85","44.f5",1,0,0,1,0,0,0,0,1,3
"86","44.f6",2,0,0,4,0,0,0,0,2,3
"87","44.f8",4,0,0,1,0,0,0,0,5,3
"88","44.f9",8,0,0,1,0,0,0,0,0,2
"89","44.g1",7,0,0,0,0,0,0,0,0,1
"90","44.g2",9,0,0,0,0,0,0,0,0,1
"91","44.g3",23,0,0,6,0,0,0,0,0,2
"92","44.g5",11,0,0,3,0,0,0,0,1,3
"93","44.g6",4,0,0,0,0,0,0,0,1,2
"94","44.g7",11,0,0,4,0,0,0,0,5,3
"95","44.g8",3,0,0,3,0,0,0,0,0,2
"96","44.g9",2,0,0,0,0,0,0,0,0,1
"97","44.h1",1,0,0,0,0,0,0,0,0,1
"98","44.h2",16,0,0,8,0,0,0,0,0,2
"99","44.h3",11,0,0,0,0,0,0,0,1,2
"100","44.h4",16,0,0,6,0,0,0,0,1,3
"101","44.h5",3,0,0,1,0,0,0,0,0,2
"102","44.h6",10,0,0,6,0,0,0,0,9,3
"103","44.h7",5,0,0,0,0,0,0,0,0,1
"104","44.h8",10,0,0,5,0,0,0,0,5,3
"105","44.h9",4,0,0,1,0,0,0,0,0,2
"106","44.i2",1,0,0,0,0,0,0,0,0,1
"107","44.i3",6,0,0,2,0,0,0,0,0,2
"108","44.i4",1,0,0,2,0,0,0,0,0,2
"109","44.i5",1,0,0,1,0,0,0,0,3,3
"110","44.i6",2,0,0,2,0,0,0,0,4,3
"111","44.i7",3,0,0,4,0,0,0,0,1,3
"112","44.i8",3,0,0,3,0,0,0,0,0,2
"113","44.i9",0,0,0,0,0,0,0,0,0,0
"114","6.b2",0,5,0,0,4,0,0,0,0,2
"115","6.b8",0,4,0,0,4,0,0,0,0,2
"116","6.c7",0,1,0,0,0,0,0,0,0,1
"117","6.d6",0,5,0,0,1,0,0,0,0,2
"118","6.d8",0,0,0,0,2,0,0,0,0,1
"119","6.e7",0,0,0,0,1,0,0,0,0,1
"120","6.f2",0,1,0,0,2,0,0,0,0,2
"121","6.f6",0,1,0,0,0,0,0,0,0,1
"122","6.h2",0,4,0,0,1,0,0,0,0,2
"123","6.h3",0,0,0,0,0,0,0,1,0,1
"124","6.h6",0,1,0,0,0,0,0,0,0,1
"125","6.h8",0,0,0,0,1,0,0,0,0,1
"126","71.a2",2,0,0,0,0,0,0,0,0,1
"127","71.a4",3,0,0,1,0,0,0,0,0,2
"128","71.a6",0,0,0,0,0,0,0,0,2,1
"129","71.a7",1,0,0,0,0,0,0,0,0,1
"130","71.a9",0,0,0,0,0,0,0,0,1,1
"131","71.b2",2,0,0,8,0,0,0,0,2,3
"132","71.b3",1,0,0,1,0,0,0,0,0,2
"133","71.b4",3,0,0,7,0,0,0,0,1,3
"134","71.b5",0,0,0,1,0,0,0,0,0,1
"135","71.b6",4,0,0,6,0,0,0,0,5,3
"136","71.b7",9,0,0,7,0,0,0,0,2,3
"137","71.b8",5,0,0,2,0,0,0,0,0,2
"138","71.b9",3,0,0,1,0,0,0,0,0,2
"139","71.c2",0,0,0,5,0,0,0,0,0,1
"140","71.c3",1,0,0,4,0,0,0,0,1,3
"141","71.c4",6,0,0,5,0,0,0,0,2,3
"142","71.c5",0,0,0,1,0,0,0,0,1,2
"143","71.c6",1,0,0,2,0,0,0,0,0,2
"144","71.c7",3,0,0,3,0,0,0,0,2,3
"145","71.c8",4,0,0,4,0,0,0,0,10,3
"146","71.c9",0,0,0,1,0,0,0,0,0,1
"147","71.d2",0,0,0,12,0,0,0,0,0,1
"148","71.d3",0,0,0,1,0,0,0,0,0,1
"149","71.d4",4,0,0,8,0,0,0,0,0,2
"150","71.d5",0,0,0,1,0,0,0,0,0,1
"151","71.d6",0,0,0,4,0,0,0,0,1,2
"152","71.d7",1,0,0,4,0,0,0,0,0,2
"153","71.d8",5,0,0,2,0,0,0,0,7,3
"154","71.d9",4,0,0,1,0,0,0,0,0,2
"155","71.e1",0,0,0,2,0,0,0,0,0,1
"156","71.e2",0,0,0,2,0,0,0,0,0,1
