Treatment,Tile.number,Assigned.location.code,crevice.kind,LOB.targetcrevice,LOB.overall,Area.targetcrevice.cm2.inclsides,Area.overall.cm2.inclsides,turf.meas.1,turf.meas.2,turf.meas.3
Partial,82,Partial_red+3,small,0,15,46.4,259.2,0,1,0
Partial,83,Partial_yellow+3,large,6,37,31.49736,257.9,2,2,1
Partial,84,Partial_yellow+3,small,4,14,46.4,259.2,3,3,2
Partial,85,Partial_yellow+3,medium,5,18,66,287.2,3,5,4
Partial,86,Partial_red+1,large,0,6,31.49736,248,0,0,0
Partial,87,Partial_red+1,medium,3,19,66,287.2,1,1,1
Open,87.2,Open_red+3,small,5,19,66,287.2,1,1,1
Partial,88,Partial_red+1,small,3,11,46.4,259.2,0,0,0
Partial,89,Partial_red+3,medium,1,9,66,287.2,0,0,1
Partial,90,Partial_red+3,large,3,30,31.49736,257.9,1,0,0
Open,90.2,Open_yellow+1,small,3,27,46.4,259.2,1,1,1
Partial,91,Partial_green+2,large,3,34,31.49736,248,1,0,1
Caged,95,Caged_yellow+3,small,2,16,46.4,259.2,1,0,0
Caged,96,Caged_yellow+3,medium,3,16,66,287.2,2,2,2
Caged,97,Caged_yellow+3,large,0,8,31.49736,257.9,0,0,0
Open,98,Open_red+1,large,3,9,31.49736,248,1,0,0
Open,99,Open_red+1,medium,8,23,66,287.2,0,0,0
Open,99.2,Open_red+3,large,3,18,31.49736,248,NA,NA,NA
Open,100,Open_red+1,small,6,20,46.4,259.2,1,2,1
Open,100.2,Open_yellow+1,medium,13,53,66,287.2,1,1,1
Open,102,Open_red+2,medium,13,26,66,287.2,2,1,1
Partial,103,Partial_green+1,large,1,4,31.49736,257.9,0,0,0
Partial,104,Partial_green+1,medium,0,11,66,287.2,0,0,0
Partial,105,Partial_green+1,small,1,14,46.4,259.2,0,0,0
Caged,106,Caged_green+2,small,0,3,46.4,259.2,4,6,5
Caged,107,Caged_green+2,medium,2,17,66,287.2,8,6,7
Caged,108,Caged_green+2,large,1,5,31.49736,257.9,5,9,5
Partial,115,Partial_yellow+2,small,5,12,46.4,259.2,1,0,0
Partial,117,Partial_yellow+2,large,6,26,31.49736,248,1,0,1
Partial,118,Partial_yellow+2,medium,2,11,66,287.2,0,1,0
Caged,119,Caged_yellow+1,large,2,20,31.49736,257.9,4,4,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
